"PSA_1","PSA_2","Article","Web Description","Brand","Size","Pack Qty","Age","DQ Score"
"TOI","FOO","288597","Heinz Biscotti Snack Chocolate 60g","Heinz",NA,"1",NA,0.86
"TOI","FOO","288716","Heinz Farleys Rusk Original 150g","Heinz","150g",NA,NA,0.86
"TOI","FOO","288717","Heinz Cheesy Vegetable Pasta 100g","Heinz","100g","1",NA,0.93
"TOI","FOO","305000","Heinz Biscotti Snack Banana 60g","Heinz","60g","1",NA,0.93
"TOI","FOO","305001","Heinz Blueberry Porridge 120g","Heinz","120g","1",NA,0.93
"TOI","FOO","315011","Heinz Mediterranean Vegetables with Rice 125g","Heinz","125g",NA,NA,0.86
"TOI","FOO","316846","Heinz Fruity Banana Custard Pots 4 x 100g","Heinz","100g","1",NA,0.93
"TOI","FOO","316847","Heinz Fruity Medley Custard Pots 100g","Heinz","100g",NA,NA,0.86
"TOI","FOO","338297","Heniz Smooth Apple and Strawberry 100g","Heinz","100g","1",NA,0.88
"TOI","FOO","338299","Heniz Baby Sweet Potato Parsnip and Apple","Heinz","100g",NA,NA,0.81
"TOI","FOO","338300","Heinz Baby Chicken Sunday Dinner 130g","Heinz","130g","1",NA,0.93
"TOI","FOO","339750","Heniz Sweet Potato Chicken and Veggies 130g","Heinz","130g","1",NA,0.88
"TOI","FOO","422586","Heniz Apple and Blackcurrant Jucie 500ml","Heinz","500ml","6","6+ Months",0.95
"TOI","FOO","422589","Heniz Red Berry Fruit Jucie 500ml","Heinz","500ml","6","6+ Months",0.95
"TOI","FOO","457169","Farleys Strawberry and Peach Biscotti","Heinz",NA,"1",NA,0.76
"TOI","FOO","457170","Heinz Strawberry and Banana Biscotti","Heinz",NA,"1",NA,0.81
"TOI","FOO","457171","Heinz Eat Play Peach and Apricot Biscuits","Heinz",NA,"1",NA,0.81
"TOI","FOO","457172","Heinz Eat Play Strawberry and Peach Biscuits","Heinz",NA,"1",NA,0.81
