"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Assembly","DQ Score"
"SBK","DES","229456","Paper Mate Comfortmate Retractable Ball Point PenBlack 4pk","Paper Mate","Medium","Black","4pk",NA,1
"SBK","DES","261573","Papermate Mechanical Pencil 4pk","Paper Mate","0.7mm","Multi",NA,NA,0.88
"SBK","DES","303187","Paper Mate Gel Pens Black Medium 2pk","Paper Mate","Medium",NA,"2pk",NA,0.93
"SBK","DES","317991","Paper Mate Everyday Smoothness Gel Pens Medium Assorted 4pk","Paper Mate","Medium","Multi","4",NA,1
"SBK","DES","318056","Paper Mate Flexgrip Ultra Ball Point Pens Medium2pk","Paper Mate","Medium","Black","2pk",NA,1
"SBK","DES","417136","Paper Mate Inkjoy Black 8pk","Paper Mate","L146 x W15 x H193",NA,"8",NA,0.93
"SBK","DES","417137","Paper Mate Inkjoy Assorted 8pk","Paper Mate","L146 x W15 x H193",NA,"8",NA,0.93
"SBK","DES","417138","Paper Mate Inkjoy Fun Colours 8pk","Paper Mate","L146 x W15 x H193",NA,"8",NA,0.93
"SBK","DES","432408","Paper Mate Inkjoy Ballpoint Pens Black 8pk","Paper Mate","Pen H 14.8cm, W 1.3cm","Black","1","No",0.65
"SBK","DES","432409","Paper Mate Inkjoy Assorted Colours 8pk","Paper Mate","H 14.8cm, W 1.3cm","Multi","8",NA,1
"SBK","DES","432410","Paper Mate Ink Joy Mini Ballpoint PensAssorted Colours 10pk","Paper Mate","H 11.4cm, W 1.3cm","Multi","10",NA,1
"SBK","DES","454042","Paper Mate Inkjoy Gels Pens Black 2pk","Paper Mate","1.6 x 6.2 x 19.4cm","Black","2",NA,0.95
"SBK","DES","454043","Paper Mate Inkjoy Gel Pens Assorted Colours 3pk","Paper Mate","1.6 x 9.5 x 19.4cm","Multi","3",NA,0.95
"SBK","DES","454045","Paper Mate Erasable Gel Black 2pk","Paper Mate","1.6 x 6.2 x 19.4cm","Black","2",NA,0.95
"SBK","DES","454046","Paper Mate Erasable Gel Pens 4pk","Paper Mate","1.6 x 9.5 x 19.4cm","Multi","4",NA,0.95
"SBK","DES","454047","Paper Mate Flair Candy Pop 6pk","Paper Mate","1.5 x 12 x 19.4cm","Multi","6",NA,0.95
"SBK","DES","454270","Paper Mate Inkjoy Gels Pens 3pk","Paper Mate","1.6 x 9.5 x 19.4cm","Multi","3",NA,0.95
