"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Washable","Age","Model Number","DQ Score"
"DIY","CYC","435200","Thomas & Friends Bicycle Bell","Thomas & Friends","6cm diameter","Blue","1",NA,NA,NA,NA,NA,0.941666666666667
"DIY","CYC","435204","Thomas & Friends Drinking Bottle 200ml","Thomas & Friends","200ml","Blue","1",NA,NA,NA,NA,NA,0.941666666666667
"DIY","CYC","435208","Thomas & Friends Safety Cycle Helmet","Thomas & Friends","To fit head size 48-52cm","Blue","1",NA,NA,NA,NA,NA,0.941666666666667
"DIY","CYC","435216","Thomas & Friends Bicycle Mitts","Thomas & Friends","9 x 12cm","Green","1","woven","No","Hand Wash Only","3+","M13042",0.65
"TOY","PRE","409167","Thomas Mighty Minis Blind Bag","Thomas & Friends",NA,"Multi","1",NA,NA,NA,"3 Years +",NA,0.891666666666667
"TOY","PRE","428506","Thomas The Tank Engine Soft Ball","Thomas & Friends",NA,"Multi","1",NA,NA,NA,"12 Months +",NA,0.891666666666667
"TOY","PRE","448309","My First Thomas Roll n Pop Engine","Thomas & Friends",NA,"Multi","1",NA,NA,NA,"12 Months +",NA,0.891666666666667
"TOY","PRE","448311","Thomas & Friends Small Engine","Thomas & Friends",NA,"Multi","1",NA,NA,NA,"3 Years +",NA,0.941666666666667
"TOY","PRE","448312","Thomas & Friends Large Talking Engine","Thomas & Friends",NA,"Multi","1",NA,NA,NA,"3 Years +",NA,0.941666666666667
"TOY","PRE","454666","Thomas and Friends Mini Collector Case","Thomas & Friends",NA,"Multi","1",NA,NA,NA,"3 Years +",NA,0.841666666666667
