"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","Power","Capacity","Age","DQ Score"
"TOI","DEN","126264","Wisdom Regular Fresh Toothbrush Medium 3pk","Wisdom","Medium","Multi","1",NA,"No",NA,NA,NA,0.65
"TOI","DEN","232115","Wisdom Toothbrush Control Grip  Medium 1pk","Wisdom","Medium",NA,NA,NA,"No",NA,NA,NA,0.65
"TOI","DEN","252575","Wisdom Toothbrush  Extra Clean Value Pack 4pk","Wisdom","Medium","Multi","1",NA,"No",NA,NA,NA,0.65
"TOI","DEN","257649","Wisdom Toothbrush Control Grip Firm 1pk","Wisdom","Firm",NA,NA,NA,"No",NA,NA,NA,0.65
"TOI","DEN","258027","Wisdom Toothbrush Clean Between Sensitive 1pk","Wisdom","Sensitive",NA,NA,NA,"No",NA,NA,NA,0.65
"TOI","DEN","280414","Wisdom Dental Tape Mint Waxed 50m","Wisdom","50m","Multi","1",NA,"No",NA,NA,NA,0.65
"TOI","DEN","280417","Wisdom Fresh Breath Spray Freshmint  12.5ml","Wisdom","12.5ml","Multi","1",NA,"No",NA,NA,NA,0.65
"TOI","DEN","280424","Wisdom Clean Between Interdental Brushes 20pk","Wisdom","One Size","Multi","1",NA,"No",NA,NA,NA,0.65
"TOI","DEN","283982","Wisdom Clean Between Flossers 30pk","Wisdom","One Size","Multi","1",NA,"No",NA,NA,NA,0.65
"TOI","DEN","288019","Wisdom Mouthwash Coolmint 500ml","Wisdom","500ml",NA,"1",NA,"No",NA,NA,NA,0.65
"TOI","DEN","319853","Wisodom Clean Between Interdental Brushes  Medium20pk","Wisdom","One Size","Multi","1",NA,"No",NA,NA,NA,0.6
"TOI","DEN","352348","Wisdom Sensitive Defence Mouthwash 500ml","Wisdom","500ml","Multi","1",NA,"No",NA,"500ml",NA,0.65
"TOI","DEN","419388","Wisdom Toothbrush Advanced Interdental Firm 1pk","Wisdom",NA,NA,"1","Plastic PP and Plastic TPR","No",NA,NA,"Adults",0.65
"TOI","DEN","419389","Wisdom Interdental Brushes Daily Use XXX Fine 30pk","Wisdom",NA,NA,"1","Plastic PP and Steel Wire","No",NA,NA,"Adults",0.65
"TOI","DEN","425422","Wisdom Interdental Clean Between BrushesLarge 20pk","Wisdom",NA,NA,"1","Plastic - PP / Plastic - TPE","No",NA,NA,"Adults",0.65
"TOI","DEN","437355","Wisdom Toothbrush Spinbrush Whitening Power","Wisdom","H20.6cm, W3.1cm, D2.7cm",NA,"1","Plastic","No","Battery Powered",NA,"6+",0.65
"TOI","DEN","437356","Wisdom Kids Toothbrush Spinbrush Power","Wisdom","H20.6cm, W3.1cm, D2.7cm",NA,"1","Plastic","No","Battery Powered",NA,"6+",0.65
"TOI","DEN","437357","Wisdom Kids Toothbrush Flashing Bright Star","Wisdom","H15cm, W2cm, D2cm",NA,"1","Plastic","No","Battery Powered",NA,"3+",0.65
"TOI","DEN","441224","Wisdom Toothbrush Step by Step 0-2 Years 1pk","Wisdom","H10.5cm, W4cm, D1.4cm",NA,"1","Plastic","No","Battery Powered",NA,"3+",0.65
"TOI","DEN","441225","Wisdom Toothbrush Step by Step 3-5 Years 1pk","Wisdom","H14.6cm, W2.3cm, D2.0cm",NA,"1","Plastic","No","Battery Powered",NA,"3+",0.65
"TOI","DEN","441226","Wisdom Toothbrush Step by Step 6 Plus Years1pk","Wisdom","H16cm, W2.0cm, D1.5cm",NA,"1","Plastic","No","Battery Powered",NA,"3+",0.65
"TOI","DEN","448529","Wisdom Toothpaste Sensitive and Whitening 100ml","Wisdom","H16cm, W5.4cm, D3.3cm",NA,"1","Plastic","No","Battery Powered",NA,"3+",0.65
"TOI","DEN","76763","Wisdom Toothbrush  Regular Fresh Medium 2pk","Wisdom","Medium","Multi","1",NA,"No",NA,NA,NA,0.65
"TOI","DEN","76764","WisdomToothbrush  Regular Fresh Firm 2pk","Wisdom","Firm","Multi","1",NA,"No",NA,NA,NA,0.65
