"PSA_1","PSA_2","Article","Web Description","Brand","DQ Score"
"DEC","ADH","421517","Gorilla Tape 11m","Gorilla Glue",0.95
"DEC","ADH","421519","Gorilla Tape Handy Roll 9.14m x 25mm","Gorilla Glue",0.95
"DEC","ADH","421528","Gorilla Wood Glue 118ml","Gorilla Glue",0.95
"DEC","ADH","421530","Gorilla Wood Glue 532ml","Gorilla Glue",0.95
"DEC","ADH","421531","Gorilla Epoxy Glue 25ml","Gorilla Glue",0.95
"DEC","ADH","421532","Gorilla Superglue 3g 2pk","Gorilla Glue",0.95
"DEC","ADH","421533","Gorilla Superglue 15g","Gorilla Glue",0.95
"DEC","ADH","421534","Gorilla Superglue Gel 15g","Gorilla Glue",0.95
"DEC","ADH","441732","Gorilla Heavy Duty Grab Adhesive 290ml","Gorilla Glue",0.95
"DEC","ADH","441733","Gorilla Heavy Duty Mounting Tape 25.4mm x 1.52m","Gorilla Glue",0.833333333333333
"DEC","ADH","169379","Unibond Powertape Black 50mmx25m","Henkel",0.95
"DEC","FIL","3106040","Polyfilla Quick Dry 330g","Polycell",0.95
"DEC","INS","97157","Draught Seal E White SFDP210 6m","Wilko",0.88
"DEC","INS","97190","Draught Seal White SFDP12 15m","Wilko",0.81
"DEC","INS","97192","Draught Seal P White SFDP220 6m","Wilko",0.88
"DEC","INS","97194","PVC Brush Strip White SFDP02","Wilko",0.88
"DEC","PAS","281756","Atlas Plumb Bob","Wilko",0.75
"DEC","PAS","2784040","Paste Table with Hardboard Top","Wilko Functional",0.8
"DEC","PRP","342836","Disposable Coverall Large","Draper",0.75
"DEC","PRP","160827","Thompsons uPVC Restorer 480ml","Thompson's",0.75
"DEC","PRP","159223","Wilko Decorator Disposable Gloves Polythene One Size 25pk","Wilko Functional",0.85
"DEC","PRP","2702940","Wilko Decorators Sponge 14cm x 10cm x 3.5cm","Wilko Functional",0.8
"DEC","PRP","287561","Wilko Sandpaper Assorted Grades Pack x 10 sheets","Wilko Functional",0.85
"DEC","PRP","287952","Wilko General Purpose Wire Brush","Wilko Functional",0.75
"DEC","PRP","309327","Wilko Decorating Tool Set","Wilko Functional",0.8
"DEC","PRP","343811","Wilko Polythene Dust Sheet 12x9ft","Wilko Functional",0.8
"DEC","ROL","343159","Wilko Func. Roller Tray Set 9In","Wilko Functional",0.833333333333333
"DEC","TIL","157225","Wilko Decorator Interior Sealant All-Purpose White100ml","Wilko Functional",0.8625
"DEC","TIL","78666","Wilko Decorator Interior Sealant All Purpose White300ml","Wilko Functional",0.95
"DEC","WAL","409956","1Wall Wallpaper Orchid Flower Mural","1 Wall",0.9
"DEC","WAL","409969","1Wall Wallpaper Rustic Red Brick Mural","1 Wall",0.9
"DEC","WAL","436890","Graham and Brown Wallpaper Boutique Dynasty PlainCream","Graham & Brown",0.95
"DEC","WAL","436891","Graham and Brown Wallpaper Boutique Dynasty Cream","Graham & Brown",0.95
"DEC","WAL","436902","Contour Wallpaper Aurora Gold/Silver","Graham & Brown",0.95
"DEC","WAL","436904","Contour Wallpaper Earthen Mid Grey","Graham & Brown",0.6
"DEC","WAL","436905","Contour Wallpaper Aurora Black/Silver","Graham & Brown",0.6
"DEC","WAL","436914","Graham and Brown Wallpaper Kids at Home Vintage Blue","Graham & Brown",0.95
"DEC","WAL","436947","Contour Wallpaper Earthen Beige","Graham & Brown",0.95
"DEC","WAL","439110","Graham and Brown Wallpaper Vinyl Chenille Beige/Gold","Graham & Brown",0.95
"DEC","WAL","439114","Graham and Brown Wallpaper Vinyl Devore Silver","Graham & Brown",0.95
"DEC","WAL","439115","Graham and Brown Wallpaper Vinyl Flamenco Charcoal/Silver","Graham & Brown",0.6
"DEC","WAL","439118","Graham and Brown Wallpaper Vinyl Flamenco Taupe/Champagne","Graham & Brown",0.95
"DEC","WAL","439125","Graham and Brown Wallpaper Vinyl Moonstone Chocolate/Copper","Graham & Brown",0.95
"DEC","WAL","439128","Graham and Brown Wallpaper Vinyl Opal Damask White/Silver","Graham & Brown",0.95
"DEC","WAL","439135","Graham and Brown Wallpaper Vinyl Tango White/Silver","Graham & Brown",0.95
"DEC","WAL","439138","Graham and Brown Wallpaper Vinyl Twist Ivory/Gold","Graham & Brown",0.95
"DEC","WAL","315081","Arthouse Samba Motif Aqua 406009","Opera",0.6
"DEC","WAL","424196","Superresco Colours Wallpaper Aurora Green","Superfresco",0.9
"DEC","WAL","439169","Fresco Wallpaper Victoriana Blue","Superfresco",0.95
"DEC","WAL","344144","Wilko Wallpaper Best Damask Silver","Wilko Best",0.6
"DEC","WAL","344145","Wilko Wallpaper Best Floral Black","Wilko Best",0.6
"DEC","WAL","344880","Wilko Wallpaper Best Plain Gold","Wilko Best",0.6
"DEC","WAL","344881","Wilko Wallpaper Best Plain Silver","Wilko Best",0.6
"DEC","WAL","246876","Wilko Wallpaper Embossed White 16276","Wilko Functional",0.95
"DEC","WAL","246877","Wilko Wallpaper Embossed White 16277","Wilko Functional",0.85
"DEC","WAL","344140","Wilko Best Lining Paper","Wilko Functional",0.85
