"PSA_1","PSA_2","Article","Web Description","DQ Score"
"TOY","ACT","448256","Grossery Gang 10pk Assortment",0.891666666666667
"TOY","ACT","448257","Grossery Gang Surprise Blind Bag",0.891666666666667
"TOY","ACT","448258","Grossery Gang Assortment 5pk",0.891666666666667
"TOY","ACT","448247","Qixels Design Creator",0.891666666666667
"TOY","CRE","439417","Crayola Creations Thread Wrapper",0.891666666666667
"TOY","CRE","456570","Grafix 2 in 1 Geo Science Experiment Kit",0.891666666666667
"TOY","CRE","456571","Grafix Ulitmate Magic Set",0.891666666666667
"TOY","CRE","454755","Game of Thrones Cluedo",0.783333333333333
"TOY","FAN","456434","Hatchimals Colleggtible Blind Egg",0.85
"TOY","FAN","456436","Hatchimals Colleggtible and Bonus Egg 4pk",0.85
"TOY","FAN","428006","Shopkins 5pk",0.9
"TOY","FAN","440594","Trolls Small Blind Bag",0.85
"TOY","FAN","439880","Tsum Tsum Twin Pack",0.8625
"TOY","FAN","447525","Disney Tsum Tsum Christmas Tin",0.85
"TOY","GAM","448224","Are We There Yet? Travel Game",0.841666666666667
"TOY","PRE","454666","Thomas and Friends Mini Collector Case",0.841666666666667
"TOY","PRE","448329","Vtech Stack Sort and Store Tree",0.891666666666667
