"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","DQ Score"
"HOU","SCO","351858","Wilko Dish Brush Caddy","Wilko",NA,"White","1",NA,0.93
"HOU","WAR","232356","Wilko Garment Cover 127 x 61cm 2pk","Wilko","127x61cm","Clear","2","Polyethylene, Polyester",0.95
"HOU","WAR","232357","Wilko Garment Cover Clear 97 x 61cm 2pk","Wilko","97x61cm","Clear","1","Polyethelene, Polyester",0.95
"HOU","WAR","232360","Wilko Vacuum Sealed Storage Bags 2 Sizes 2pk","Wilko","70x40cm","Multi","2",NA,0.9
"HOU","WAR","273272","Wilko Cedar Moth Balls 20pk","Wilko",NA,NA,"20pk",NA,0.9125
"HOU","WAR","300321","Wilko Vacuum Sealed Storage Bags Large 2pk","Wilko","Large","Multi","2",NA,0.9
"HOU","WAR","300322","Wilko Vacuum Sealed Storage Bags Extra Large 2pk","Wilko","Jumbo","Multi","2pk",NA,0.9
"HOU","WAR","300329","Wilko Underbed Storage Bag Beige","Wilko","16x104x46cm","Brown","1","Polypropylene",0.95
"HOU","WAR","300332","Wilko Garment Cover 100 x 60cm","Wilko","100x60cm","Brown","1","Polypropylene",0.95
"HOU","WAR","300333","Wilko Garment Cover 135 x 60cm","Wilko","135x60cm","Blue",NA,"Polypropylene",0.9
"HOU","WAR","300337","Wilko Beechwood Triple Brush","Wilko",NA,NA,"1",NA,0.9125
"HOU","WAR","300339","Wilko Scented Sachets White Rose and CottonFlower Fragrance 5pk","Wilko",NA,NA,"5pk",NA,0.9125
"HOU","WAR","300340","Wilko Scented Drawer Liners 6pk","Wilko","34x28cm",NA,"6pk",NA,1
"HOU","WAR","333859","Wilko Wardrobe Organiser 120 x 25 x 35cm","Wilko","120cmx25cmx35cm","Blue","1","Polypropylene",0.95
"HOU","WAR","333860","Wilko Shoe Organiser 127 x 25 x 30cm","Wilko","127cmx25cmx30cm","Brown","1","Polypropylene",0.95
"HOU","WAR","333861","Wilko Laundry Bag 53 x 58cm","Wilko","53cmx58cm","Blue",NA,"Polypropylene",0.941666666666667
"HOU","WAR","417449","Wilko Hanging Moisture Dehumidifier","Wilko",NA,NA,"1",NA,0.9125
"HOU","WAR","417453","Wilko Vacuum Sealed Storage Bags 2pk","Wilko","Large",NA,"2",NA,0.85
"HOU","WAR","417488","Jumbo Storage Bag 120g","Wilko","H 46 x W 91 x D 53cm",NA,"1",NA,0.8
