"PSA_1","PSA_2","Article","Web Description","Brand","Pack Qty","Assembly","DQ Score"
"TOI","XMS","437589","Gizmo Juggling Christmas PuddingsSet of 3","Wilko",NA,"No",0.6
"TOI","XMS","437592","Gizmo Festive Face Mats 40 Designs","Wilko",NA,"No",0.6
"TOI","XMS","456784","Gizmo Selfie Clips","Wilko","1","No",0.6
"TOI","XMS","456785","Gizmo Bookman light","Wilko","1","No",0.6
"TOI","XMS","456786","Gizmo Assorted Quizs","Wilko","1","No",0.6
"TOI","XMS","456787","Gizmo Pocket Poker","Wilko","1","No",0.6
"TOI","XMS","456788","Gizmo Insta Photobooth","Wilko","1","No",0.6
"TOI","XMS","456789","Gizmo Beer Pong","Wilko","1","No",0.6
"TOI","XMS","456790","Gizmo Party Face","Wilko","1","No",0.6
"TOI","XMS","456791","Gizmo Animal Face Mats","Wilko","1","No",0.6
"TOI","XMS","456792","Gizmo Festive Dress Up Napkins","Wilko","1","No",0.6
"TOI","XMS","456793","Gizmo Festive Quiz","Wilko","1","No",0.6
"TOI","XMS","456794","Gizmo Festive Photo Booth","Wilko","1","No",0.6
"TOI","XMS","456795","Gizmo Festive Socks","Wilko","1","No",0.6
"TOI","XMS","456796","Gizmo Shot Pong","Wilko","1","No",0.6
"TOI","XMS","456797","Gizmo Penguin Float","Wilko","1","No",0.6
"TOI","XMS","456798","Gizmo Drink Markers","Wilko","1","No",0.6
"TOI","XMS","456799","Gizmo Credit Card Tool","Wilko","1","No",0.6
"TOI","XMS","457485","Gizmo Pug Tape Measure","Wilko","1","No",0.6
"TOI","XMS","457486","Gizmo Pocket Battle Games","Wilko","1","No",0.6
"TOI","XMS","457489","Gizmo Facemats","Wilko","1","No",0.6
"TOI","XMS","457490","Gizmo Mind Reader","Wilko","1","No",0.6
"TOI","XMS","457491","Gizmo Torch","Wilko","1","No",0.6
