"PSA_1","PSA_2","Article","Web Description","Brand","Size","Colour","Pack Qty","Material","Assembly","DQ Score"
"HOM","BAT","451438","Wilko Coastal Candle Blue","Wilko","5cm x 8cm",NA,"1",NA,NA,0.93
"HOM","COO","437744","Wilko LED Tealights 6pk","Wilko",NA,NA,"6",NA,NA,0.86
"HOM","COO","437745","Wilko LED Pillar Candle with Bells","Wilko",NA,NA,"1","Plastic","No",0.65
"HOM","COO","437746","Wilko LED Pillar Candle with Pine Cones","Wilko",NA,NA,"1","Plastic","No",0.65
"HOM","COO","437747","Wilko Filled Glass Candle Sparkling Winter","Wilko",NA,NA,"1",NA,NA,0.86
"HOM","COO","440617","Wilko Metallic Taper Candle Red 6pk","Wilko",NA,NA,"6",NA,"No",0.65
"HOM","COO","446845","Wilko Candle Tin","Wilko",NA,NA,"1",NA,"No",0.65
"HOM","COO","446848","Wilko Glass Candle Jar With Lid","Wilko",NA,NA,NA,NA,"No",0.825
"HOM","COO","446962","Wilko Ceramic Candle","Wilko",NA,NA,NA,NA,"No",0.825
"HOM","COO","446971","Wilko Glass Candle With Metal Lid Pearlescent","Wilko",NA,NA,NA,NA,"No",0.825
"HOM","COO","446976","Wilko Candle and Diffuser Set","Wilko",NA,NA,NA,NA,"No",0.825
"HOM","COO","455609","Wilko LED Glitter Tealights Silver 6pk","Wilko","10.4 x 15 x 5cm","Silver","6",NA,NA,1
"HOM","COO","455614","Wilko LED Glitter Tealights Red 6pk","Wilko","10.4 x 15 x 5cm","Red","6",NA,NA,1
"HOM","COO","455620","Wilko Red Glitter Star Candle","Wilko","10 x 10 x 5.5cm","Red","1",NA,NA,1
"HOM","COO","455621","Wilko Candle and Diffuser Gift Set Red CinnamonSpice","Wilko","11.5 x 22.5 x 6cm",NA,"1",NA,NA,1
"HOM","COO","455622","Wilko Candle and Diffuser Gift Set SilverSparkling Winter","Wilko","11.5 x 22.5 x 6cm",NA,"1",NA,NA,1
"HOM","COO","455629","Wilko Scented Tealights Red Cinnamon Spice 24pk","Wilko","3 x 11.7 x 15.5cm",NA,"24",NA,NA,0.93
"HOM","COO","455630","Wilko Scented Tealight Silver Sparkling Winter24pk","Wilko","3 x 11.7 x 15.5cm","Silver","24",NA,NA,1
"TOI","XMS","456718","Wilko Botanica Candles 3pk","Wilko",NA,NA,"3",NA,"No",0.65
"TOI","XMS","456719","Wilko Glow Boxed Candle","Wilko",NA,NA,"1",NA,"No",0.65
"TOI","XMS","456720","Wilko Glow Candle Holder Set","Wilko",NA,NA,"1",NA,"No",0.65
