"Article","Web Description","Brand","Type","Colour","Size","Material","DQ Score"
"311468","Wilko Cushion Inner Duck Feather and Down45 x 45cm","Wilko","Cushion Inner","White","45 x 45cm","100% Cotton",1
"325459","Wilko Crinkle Cushion Covers Teal Pair 43 x 43cm","Wilko","Cushion Covers","Green","46.5x43cm","100% Polyester",1
"325461","Wilko Crinkle Cushion Covers Chocolate Pair43 x 43cm","Wilko","Cushion Covers","Brown","46.5x43cm","100% Polyester",1
"455659","Wilko LED Cushion Red 43x43cm","Wilko","Cushions","Red","43 x 43cm","100% Polyester",1
"455660","Wilko LED Cushion Silver 43x43cm","Wilko","Cushions","Silver","43 x 43cm","100% Polyester",1
"455661","Wilko Scandi Red Cushion 43 x 43cm","Wilko","Cushions","Red","43 x 43cm","Polyester, cotton viscose",1
