"Article","Web Description","Brand","Type","Colour","Pack Qty","Washable","Size","Material","DQ Score"
"423226","Wilko Housewife Pillowcases Black 2pk","Wilko","Housewife Pillowcase",NA,"2",NA,"50 x 75 x 13cm","Fabric",0.9
"423231","Wilko Housewife Pillowcase Plum","Wilko","Housewife Pillowcase",NA,"2",NA,"Housewife Pillow Pair 50X75X13CM","Fabric",0.9
"424527","Wilko Oxford Pillowcases Caramel 2pk","Wilko","Oxford Pillowcase",NA,NA,NA,NA,NA,0.75
"424531","Wilko Housewife Pillowcase Taupe","Wilko","Housewife Pillowcase",NA,"1",NA,NA,NA,0.8
"424541","Wilko Housewife Pillowcases Navy 2pk","Wilko","Housewife Pillowcase",NA,NA,NA,NA,NA,0.75
"424542","Wilko Oxford Pillowcase Navy 2pk","Wilko","Oxford Pillowcase",NA,"1",NA,NA,NA,0.8
"424543","Wilko Fitted Sheet Single Denim","Wilko","Single Fitted Sheet",NA,"1",NA,NA,NA,0.8
"424546","Wilko Housewife Pillowcase Denim 2pk","Wilko","Housewife Pillowcase",NA,"1",NA,NA,NA,0.8
"424547","Wilko Oxford Pillowcase Denim 2pk","Wilko","Oxford Pillowcase",NA,"1",NA,NA,NA,0.8
"424551","Wilko Housewife Pillowcase Teal 2pk","Wilko","Housewife Pillowcase",NA,"1",NA,NA,NA,0.8
"424552","Wilko Oxford Pillowcases Teal 2pk","Wilko","Oxford Pillowcase",NA,"1",NA,NA,NA,0.8
"424557","Wilko Oxford Pillowcases Plum 2pk","Wilko","Oxford Pillowcase",NA,"2",NA,"75 x 50 x .1cm",NA,0.85
"424561","Wilko Housewife Pillowcases Red 2pk","Wilko","Housewife Pillowcase",NA,"1",NA,NA,NA,0.8
"424562","Wilko Oxford Pillowcases Red 2pk","Wilko","Oxford Pillowcase",NA,"1",NA,NA,NA,0.8
"424566","Wilko Housewife Pillowcases Pink 2pk","Wilko","Housewife Pillowcase",NA,NA,NA,NA,NA,0.75
"424567","Wilko Oxford Pillowcases Pink 2pk","Wilko","Oxford Pillowcase",NA,NA,NA,NA,NA,0.75
"424571","Wilko Housewife Pillowcases Soft Mauve 2pk","Wilko","Housewife Pillowcase",NA,NA,NA,NA,NA,0.75
"424576","Wilko Housewife Pillowcases Apple 2pk","Wilko","Housewife Pillowcase",NA,NA,NA,NA,NA,0.75
"424577","Wilko Oxford Pillowcases Apple 2pk","Wilko","Oxford Pillowcase",NA,NA,NA,NA,NA,0.75
"424581","Wilko Housewife Pillowcases Silver 2pk","Wilko","Housewife Pillowcase",NA,NA,NA,NA,NA,0.75
"424586","Wilko Housewife Pillowcases Charcoal 2pk","Wilko","Housewife Pillowcase",NA,"1",NA,NA,NA,0.8
"424587","Wilko Oxford Pillowcases Charcoal 2pk","Wilko","Oxford Pillowcase",NA,"1",NA,NA,NA,0.8
"424591","Wilko Housewife Pillowcases Duck Egg 2pk","Wilko","Housewife Pillowcase",NA,"1",NA,NA,NA,0.8
"424592","Wilko Oxford Pillowcases Duck Egg 2pk","Wilko","Oxford Pillowcase",NA,"1",NA,NA,NA,0.8
"424596","Wilko Brushed Cotton Housewife Pillowcases White2pk","Wilko","Housewife Pillowcase",NA,"1",NA,NA,NA,0.8
"424600","Wilko Housewife Pillowcase Brushed Cotton Cream2pk","Wilko","Housewife Pillowcase",NA,"1",NA,NA,"100% Brushed Cotton",0.85
"424604","Wilko Brushed Cotton Housewife Pillowcase Pink2pk","Wilko","Housewife Pillowcase",NA,"1",NA,NA,"100% Brushed Cotton",0.85
"426429","Wilko Oxford Pillowcases White 2pk","Wilko","Oxford Pillowcase",NA,NA,NA,NA,NA,0.75
"426430","Wilko Oxford Pillowcase Cream 2pk","Wilko","Oxford Pillowcase",NA,NA,NA,NA,NA,0.75
"426431","Wilko Oxford Pillowcases Black 2pk","Wilko","Oxford Pillowcase",NA,"1",NA,NA,NA,0.8
